term,df,months,recent_df,recency,score,topic1,topic2,words,lang
AI,4128,45,3545,0.859,53.776,frontier,law,1,en
문제,731,41,645,0.882,42.055,safety_research,frontier,1,ko
가능성,612,44,500,0.817,40.402,frontier,safety_research,1,ko
에서,691,31,623,0.902,39.012,safety_research,frontier,1,ko
에이전트,582,34,525,0.902,38.98,agentic_ai,cybersecurity,1,ko
있으,527,38,440,0.835,38.308,frontier,law,1,ko
Anthropic,495,43,372,0.752,37.607,frontier,cybersecurity,1,en
다양한,423,40,344,0.813,37.082,safety_research,frontier,1,ko
거버넌스,491,32,425,0.866,36.681,norms,law,1,ko
LLM,477,30,428,0.897,36.394,safety_research,cybersecurity,1,en
등을,499,33,411,0.824,36.355,law,frontier,1,ko
프레임워크,442,29,400,0.905,35.73,safety_research,agentic_ai,1,ko
EU,393,34,329,0.837,35.478,law,guideline,1,en
가지,344,34,300,0.872,35.271,frontier,safety_research,1,ko
검증,464,24,441,0.95,34.803,safety_research,frontier,1,ko
Claude,385,35,302,0.784,34.736,frontier,cybersecurity,1,en
특정,315,36,263,0.835,34.666,safety_research,frontier,1,ko
체계,430,26,393,0.914,34.611,safety_research,law,1,ko
향후,352,33,295,0.838,34.557,frontier,safety_research,1,ko
안전성,340,32,295,0.868,34.545,safety_research,frontier,1,ko
공격,440,25,406,0.923,34.483,cybersecurity,safety_research,1,ko
단계,358,29,323,0.902,34.454,safety_research,frontier,1,ko
실험,332,32,288,0.867,34.402,safety_research,frontier,1,ko
보호,384,28,343,0.893,34.371,law,youth,1,ko
대응,385,29,332,0.862,34.232,cybersecurity,frontier,1,ko
가능한,328,30,293,0.893,34.127,safety_research,frontier,1,ko
사이버,378,27,342,0.905,34.106,cybersecurity,frontier,1,ko
추가,346,28,308,0.89,33.723,safety_research,frontier,1,ko
작업,345,34,268,0.777,33.704,frontier,agentic_ai,1,ko
과제,347,30,290,0.836,33.533,safety_research,frontier,1,ko
있음,301,31,259,0.86,33.414,safety_research,frontier,1,ko
조치,315,30,270,0.857,33.318,frontier,law,1,ko
적용,315,30,268,0.851,33.218,law,guideline,1,ko
없이,307,28,275,0.896,33.122,law,frontier,1,ko
벤치마크,368,23,349,0.948,33.037,safety_research,frontier,1,ko
설계,338,25,310,0.917,32.909,safety_research,agentic_ai,1,ko
보고서,364,31,274,0.753,32.761,frontier,law,1,ko
발전,279,33,226,0.81,32.747,law,frontier,1,ko
대규모,303,27,272,0.898,32.731,safety_research,frontier,1,ko
운영,314,26,283,0.901,32.63,cybersecurity,agentic_ai,1,ko
투명성,293,30,245,0.836,32.573,law,guideline,1,ko
safety,343,26,296,0.863,32.539,safety_research,frontier,1,en
OpenAI,341,25,302,0.886,32.479,frontier,cybersecurity,1,en
아니,306,25,282,0.922,32.415,safety_research,frontier,1,ko
해당,334,26,288,0.862,32.381,law,frontier,1,ko
Models,258,31,219,0.849,32.336,frontier,safety_research,1,en
역량,349,25,302,0.865,32.298,cybersecurity,frontier,1,ko
바탕,287,30,237,0.826,32.293,frontier,safety_research,1,ko
으로,307,25,276,0.899,32.096,safety_research,frontier,1,ko
기능,335,26,280,0.836,31.992,frontier,cybersecurity,1,ko
테스트,252,29,217,0.861,31.785,cybersecurity,frontier,1,ko
Model,245,30,207,0.845,31.684,frontier,safety_research,1,en
개선,254,30,211,0.831,31.674,safety_research,frontier,1,ko
방향,255,30,211,0.827,31.647,law,safety_research,1,ko
상황,257,28,222,0.864,31.62,safety_research,frontier,1,ko
코드,260,27,229,0.881,31.607,cybersecurity,frontier,1,ko
크게,244,28,215,0.881,31.583,frontier,safety_research,1,ko
Act,298,28,239,0.802,31.511,law,guideline,1,en
있어,253,31,202,0.798,31.449,frontier,safety_research,1,ko
범위,322,23,285,0.885,31.363,safety_research,frontier,1,ko
확인,292,24,260,0.89,31.308,frontier,law,1,ko
기관,245,27,214,0.873,31.164,cybersecurity,frontier,1,ko
내부,275,25,241,0.876,31.15,frontier,safety_research,1,ko
따른,247,30,199,0.806,31.136,law,frontier,1,ko
절차,259,26,226,0.873,31.121,law,frontier,1,ko
비용,243,26,217,0.893,31.061,frontier,safety_research,1,ko
전문,248,28,208,0.839,31.045,law,cybersecurity,1,ko
원칙,208,32,171,0.822,30.965,norms,law,1,ko
취약점,268,22,256,0.955,30.948,cybersecurity,frontier,1,ko
개의,211,28,188,0.891,30.894,frontier,safety_research,1,ko
시간,274,26,229,0.836,30.889,frontier,cybersecurity,1,ko
배포,264,24,237,0.898,30.859,safety_research,frontier,1,ko
향상,202,30,174,0.861,30.819,safety_research,frontier,1,ko
변화,260,26,221,0.85,30.811,frontier,law,1,ko
신뢰성,226,29,189,0.836,30.796,safety_research,norms,1,ko
필요성,205,31,170,0.829,30.715,law,frontier,1,ko
본문,299,22,268,0.896,30.708,frontier,safety_research,1,ko
생성형,261,28,207,0.793,30.647,law,guideline,1,ko
표준,213,28,185,0.869,30.624,standards,law,1,ko
공동,208,29,178,0.856,30.61,frontier,norms,1,ko
경쟁,215,28,184,0.856,30.492,frontier,national_security,1,ko
규정,226,27,194,0.858,30.491,law,guideline,1,ko
위협,257,25,220,0.856,30.482,cybersecurity,frontier,1,ko
감독,231,27,196,0.848,30.469,law,safety_research,1,ko
혁신,248,29,193,0.778,30.449,law,norms,1,ko
법적,251,25,212,0.845,30.188,law,guideline,1,ko
하며,197,30,162,0.822,30.107,law,guideline,1,ko
도입,281,21,254,0.904,30.05,law,frontier,1,ko
언어 모델,163,34,133,0.816,29.968,safety_research,frontier,2,ko
실행,252,22,229,0.909,29.963,agentic_ai,cybersecurity,1,ko
초기,201,29,165,0.821,29.911,frontier,safety_research,1,ko
