bucket,표제어,영문,대표표기,df,months,recency,최대변이df,변이표기
A. 정렬·모델 행동,정렬,alignment,정렬,260,19,0.965,260,정렬(260) / alignment(198)
A. 정렬·모델 행동,오정렬,misalignment,misalignment,39,14,0.923,39,misalignment(39)
A. 정렬·모델 행동,환각,hallucination,환각,42,15,0.905,42,환각(42) / hallucination(18)
A. 정렬·모델 행동,편향,bias,편향,186,25,0.801,186,편향(186)
A. 정렬·모델 행동,아첨 성향,sycophancy,아첨,7,4,0.714,26,아첨(7) / sycophancy(26)
A. 정렬·모델 행동,기만,deception,기만,15,8,0.933,15,기만(15) / deception(11)
A. 정렬·모델 행동,사보타주,sabotage,사보타주,12,9,0.833,12,사보타주(12) / sabotage(11)
A. 정렬·모델 행동,통제 상실,loss of control,통제 상실,23,12,0.913,23,통제 상실(23)
A. 정렬·모델 행동,인간 감독,human oversight,인간 감독,52,14,0.808,52,인간 감독(52) / oversight(36)
A. 정렬·모델 행동,인간 피드백 기반 강화학습,RLHF,RLHF,35,12,0.8,35,RLHF(35)
A. 정렬·모델 행동,파인튜닝,fine-tuning,파인튜닝,33,7,0.909,43,파인튜닝(33) / fine-tuning(43) / 미세조정(10)
A. 정렬·모델 행동,증류,distillation,증류,32,6,1.0,35,증류(32) / distillation(35)
A. 정렬·모델 행동,사고연쇄,chain-of-thought (CoT),chain-of-thought,28,10,0.786,30,chain-of-thought(28) / CoT(30)
B. 안전성 평가·측정,안전성 평가,safety evaluation,안전성 평가,50,10,1.0,340,안전성 평가(50) / 안전 평가(42) / 안전성(340)
B. 안전성 평가·측정,위험 평가,risk assessment,위험 평가,74,21,0.743,74,위험 평가(74) / Risk Assessment(11)
B. 안전성 평가·측정,벤치마크,benchmark,벤치마크,368,23,0.948,368,벤치마크(368)
B. 안전성 평가·측정,레드팀,red teaming,레드팀,28,8,1.0,45,레드팀(28) / red-teaming(45)
B. 안전성 평가·측정,공격 성공률,attack success rate (ASR),공격 성공률,49,11,0.918,49,공격 성공률(49) / ASR(29)
B. 안전성 평가·측정,가드레일,guardrail,안전장치,141,15,0.915,141,안전장치(141) / guardrails(21) / guardrail(8)
B. 안전성 평가·측정,탈옥,jailbreak,탈옥,21,11,0.81,98,탈옥(21) / jailbreak(98)
B. 안전성 평가·측정,프롬프트 인젝션,prompt injection,prompt injection,47,10,0.872,47,prompt injection(47)
B. 안전성 평가·측정,해석가능성,interpretability,해석가능성,13,3,1.0,13,해석가능성(13) / interpretability(11)
B. 안전성 평가·측정,설명가능성,explainability (XAI),설명가능성,23,11,0.826,59,설명가능성(23) / XAI(59)
B. 안전성 평가·측정,일반화,generalization,일반화,112,15,0.893,112,일반화(112)
B. 안전성 평가·측정,보정,calibration,보정,19,6,1.0,19,보정(19) / Calibration(18)
B. 안전성 평가·측정,LLM 심판,LLM-as-a-Judge,LLM-as-a-Judge,14,7,0.929,14,LLM-as-a-Judge(14)
B. 안전성 평가·측정,실패 모드,failure mode,실패 모드,28,8,0.929,28,실패 모드(28)
B. 안전성 평가·측정,AI 감사,AI audit,감사,187,15,0.947,187,감사(187) / Audit(40)
C. 오용·악용 위험,오용,misuse,오용,36,12,0.889,36,오용(36)
C. 오용·악용 위험,남용,abuse,남용,7,7,0.857,7,남용(7)
C. 오용·악용 위험,취약점,vulnerability,취약점,268,22,0.955,268,취약점(268)
C. 오용·악용 위험,위협,threat,위협,257,25,0.856,257,위협(257)
C. 오용·악용 위험,사이버 공격,cyberattack,사이버 공격,92,18,0.913,92,사이버 공격(92)
C. 오용·악용 위험,유해 콘텐츠,harmful content,유해 콘텐츠,22,7,0.955,22,유해 콘텐츠(22)
C. 오용·악용 위험,비동의 성적 합성물,NCII,비동 성적,19,8,0.895,19,비동 성적(19)
C. 오용·악용 위험,개인정보 침해,privacy breach,개인정보 침해,13,11,0.692,13,개인정보 침해(13)
C. 오용·악용 위험,검열,censorship,검열,17,6,0.941,17,검열(17)
C. 오용·악용 위험,감시,surveillance,감시,117,16,0.889,117,감시(117) / Surveillance(15)
D. 에이전트·자율성,AI 에이전트,AI agent,에이전트,582,34,0.902,582,에이전트(582) / agents(146) / agent(149)
D. 에이전트·자율성,에이전틱 AI,agentic AI,에이전틱,69,14,0.942,115,에이전틱(69) / agentic(115)
D. 에이전트·자율성,다중 에이전트,multi-agent,다중 에이전트,48,15,0.875,48,다중 에이전트(48) / multi-agent(29)
D. 에이전트·자율성,자율 에이전트,autonomous agent,자율 에이전트,22,8,0.955,37,자율 에이전트(22) / autonomous(37)
D. 에이전트·자율성,자율성,autonomy,자율성,83,19,0.807,83,자율성(83) / autonomy(15)
D. 에이전트·자율성,작업 시간 지평,task time horizon,시간 지평,13,9,0.615,17,시간 지평(13) / 지평(17)
D. 에이전트·자율성,도구 사용,tool use,도구 사용,57,15,0.877,57,도구 사용(57)
D. 에이전트·자율성,모델 컨텍스트 프로토콜,MCP,MCP,35,11,0.914,35,MCP(35)
D. 에이전트·자율성,초지능,superintelligence,초지능,23,12,0.913,23,초지능(23)
D. 에이전트·자율성,범용인공지능,AGI,AGI,41,14,0.878,41,AGI(41)
E. 거버넌스·책임 원칙,AI 거버넌스,AI governance,거버넌스,491,32,0.866,491,거버넌스(491) / Governance(149)
E. 거버넌스·책임 원칙,책임성,accountability,책임성,111,19,0.892,111,책임성(111)
E. 거버넌스·책임 원칙,투명성,transparency,투명성,293,30,0.836,293,투명성(293)
E. 거버넌스·책임 원칙,공정성,fairness,공정성,78,19,0.859,78,공정성(78)
E. 거버넌스·책임 원칙,신뢰할 수 있는 AI,trustworthy AI,Trustworthy,25,12,0.72,25,Trustworthy(25)
E. 거버넌스·책임 원칙,책임 있는 AI,responsible AI,Responsible,41,15,0.78,41,Responsible(41)
E. 거버넌스·책임 원칙,윤리 원칙,ethical principles,윤리,124,29,0.79,124,윤리(124) / 윤리 원칙(14) / ethics(21)
E. 거버넌스·책임 원칙,구속력,binding force,구속력,28,12,0.714,28,구속력(28)
F. 법·규제 개념,고위험 AI,high-risk AI,고위험,181,25,0.845,181,고위험(181)
F. 법·규제 개념,생성형 AI,generative AI,생성형,261,28,0.793,261,생성형(261) / GenAI(25)
F. 법·규제 개념,범용 AI 모델,general-purpose AI model (GPAI),GPAI,44,16,0.614,44,GPAI(44) / General-Purpose(23)
F. 법·규제 개념,투명성 의무,transparency obligation,투명성 의무,28,8,0.893,28,투명성 의무(28)
F. 법·규제 개념,규정 준수,compliance,규제 준수,29,13,0.897,197,규제 준수(29) / 규정 준수(25) / 준수(197)
F. 법·규제 개념,자동화된 의사결정,automated decision-making,의사결정,179,20,0.877,179,의사결정(179)
F. 법·규제 개념,개인정보 보호,data protection,개인정보 보호,61,16,0.918,178,개인정보 보호(61) / 개인정보(178)
F. 법·규제 개념,프라이버시,privacy,프라이버시,108,17,0.824,108,프라이버시(108)
F. 법·규제 개념,수출 통제,export control,수출 통제,25,13,0.72,25,수출 통제(25)
F. 법·규제 개념,표현의 자유,freedom of expression,표현 자유,24,7,0.958,24,표현 자유(24)
