bucket,표제어,영문,df,recency,이웃표제어수,허브PR,병기문서,병기율,괄호안,괄호안율
C. 오용·악용 위험,오용,misuse,36,0.889,63,1.55,3,0.075,0,0.0
B. 안전성 평가·측정,프롬프트 인젝션,prompt injection,47,0.872,58,1.398,2,0.042,0,0.0
J. 국가안보·중대위험,화학·생물·방사능·핵,CBRN,14,0.643,36,1.35,2,0.125,2,0.125
A. 정렬·모델 행동,오정렬,misalignment,39,0.923,54,1.34,2,0.048,5,0.119
A. 정렬·모델 행동,통제 상실,loss of control,23,0.913,48,1.33,1,0.031,0,0.0
A. 정렬·모델 행동,인간 감독,human oversight,52,0.808,71,1.33,0,0.0,4,0.073
C. 오용·악용 위험,남용,abuse,7,0.857,66,1.308,1,0.02,0,0.0
C. 오용·악용 위험,개인정보 침해,privacy breach,13,0.692,32,1.296,0,0.0,0,0.0
D. 에이전트·자율성,자율 에이전트,autonomous agent,22,0.955,67,1.229,0,0.0,0,0.0
B. 안전성 평가·측정,레드팀,red teaming,28,1.0,66,1.215,2,0.044,1,0.022
E. 거버넌스·책임 원칙,책임성,accountability,111,0.892,66,1.212,4,0.036,1,0.009
E. 거버넌스·책임 원칙,투명성,transparency,293,0.836,93,1.199,2,0.007,1,0.003
I. 정보생태계·합성미디어,허위정보,disinformation,55,0.745,55,1.196,1,0.018,0,0.0
B. 안전성 평가·측정,위험 평가,risk assessment,74,0.743,72,1.19,3,0.024,1,0.008
A. 정렬·모델 행동,편향,bias,186,0.801,85,1.185,6,0.028,2,0.009
F. 법·규제 개념,고위험 AI,high-risk AI,181,0.845,84,1.177,2,0.011,1,0.005
G. 표준·인증·위험관리,생애주기,lifecycle,35,0.8,50,1.172,2,0.056,0,0.0
A. 정렬·모델 행동,환각,hallucination,42,0.905,64,1.171,3,0.065,1,0.022
J. 국가안보·중대위험,사고 보고,incident reporting,16,0.75,67,1.162,1,0.023,0,0.0
G. 표준·인증·위험관리,표준화,standardization,60,0.867,75,1.149,2,0.018,0,0.0
B. 안전성 평가·측정,AI 감사,AI audit,187,0.947,86,1.137,17,0.083,9,0.044
K. 이용자 보호·아동청소년·정신건강,연령 확인,age verification,13,1.0,50,1.132,0,0.0,1,0.037
E. 거버넌스·책임 원칙,공정성,fairness,78,0.859,59,1.117,2,0.025,0,0.0
B. 안전성 평가·측정,일반화,generalization,112,0.893,70,1.114,1,0.007,0,0.0
C. 오용·악용 위험,비동의 성적 합성물,NCII,19,0.895,32,1.114,0,0.0,0,0.0
A. 정렬·모델 행동,정렬,alignment,260,0.965,85,1.113,78,0.264,41,0.139
B. 안전성 평가·측정,가드레일,guardrail,141,0.915,80,1.107,4,0.028,2,0.014
G. 표준·인증·위험관리,적합성 평가,conformity assessment,13,0.692,52,1.104,0,0.0,0,0.0
A. 정렬·모델 행동,사보타주,sabotage,12,0.833,32,1.088,1,0.083,2,0.167
D. 에이전트·자율성,도구 사용,tool use,57,0.877,65,1.087,0,0.0,0,0.0
B. 안전성 평가·측정,안전성 평가,safety evaluation,50,1.0,93,1.082,13,0.038,0,0.0
L. 기반 기술·모델 공개 방식,모델 가중치,model weights,33,0.758,75,1.081,5,0.05,0,0.0
A. 정렬·모델 행동,파인튜닝,fine-tuning,33,0.909,59,1.077,2,0.045,2,0.045
E. 거버넌스·책임 원칙,구속력,binding force,28,0.714,33,1.071,0,0.0,0,0.0
D. 에이전트·자율성,다중 에이전트,multi-agent,48,0.875,61,1.069,1,0.021,0,0.0
E. 거버넌스·책임 원칙,신뢰할 수 있는 AI,trustworthy AI,25,0.72,37,1.068,0,0.0,0,0.0
G. 표준·인증·위험관리,위험관리,risk management,59,0.864,71,1.067,3,0.026,0,0.0
D. 에이전트·자율성,자율성,autonomy,83,0.807,69,1.065,2,0.024,0,0.0
A. 정렬·모델 행동,기만,deception,15,0.933,48,1.064,2,0.061,1,0.03
B. 안전성 평가·측정,보정,calibration,19,1.0,46,1.06,7,0.226,6,0.194
B. 안전성 평가·측정,LLM 심판,LLM-as-a-Judge,14,0.929,30,1.052,3,0.2,1,0.067
F. 법·규제 개념,개인정보 보호,data protection,61,0.918,85,1.048,1,0.005,0,0.0
B. 안전성 평가·측정,실패 모드,failure mode,28,0.929,37,1.046,4,0.143,0,0.0
F. 법·규제 개념,프라이버시,privacy,108,0.824,68,1.044,1,0.009,0,0.0
A. 정렬·모델 행동,인간 피드백 기반 강화학습,RLHF,35,0.8,39,1.037,2,0.057,6,0.171
C. 오용·악용 위험,검열,censorship,17,0.941,33,1.035,0,0.0,0,0.0
D. 에이전트·자율성,에이전틱 AI,agentic AI,69,0.942,86,1.031,3,0.025,1,0.008
F. 법·규제 개념,투명성 의무,transparency obligation,28,0.893,33,1.026,1,0.034,0,0.0
L. 기반 기술·모델 공개 방식,학습 데이터,training data,70,0.843,74,1.009,0,0.0,0,0.0
B. 안전성 평가·측정,설명가능성,explainability (XAI),23,0.826,62,0.993,4,0.062,13,0.203
C. 오용·악용 위험,감시,surveillance,117,0.889,83,0.99,3,0.019,0,0.0
E. 거버넌스·책임 원칙,AI 거버넌스,AI governance,491,0.866,96,0.987,14,0.028,4,0.008
G. 표준·인증·위험관리,위험 완화,risk mitigation,21,0.524,50,0.983,1,0.026,0,0.0
F. 법·규제 개념,자동화된 의사결정,automated decision-making,179,0.877,88,0.969,2,0.011,0,0.0
H. 보안·사이버 위협,격리·샌드박싱,"isolation, sandboxing",35,0.914,49,0.967,1,0.019,0,0.0
H. 보안·사이버 위협,사이버 방어,cyber defense,26,1.0,41,0.964,0,0.0,0,0.0
F. 법·규제 개념,표현의 자유,freedom of expression,24,0.958,30,0.961,1,0.042,1,0.042
I. 정보생태계·합성미디어,워터마킹,watermarking,32,0.875,40,0.96,0,0.0,0,0.0
K. 이용자 보호·아동청소년·정신건강,아동·청소년 보호,child and youth protection,15,1.0,56,0.949,0,0.0,0,0.0
K. 이용자 보호·아동청소년·정신건강,아동 성착취물,CSAM,19,0.895,38,0.946,4,0.19,8,0.381
H. 보안·사이버 위협,사이버보안,cybersecurity,169,0.882,90,0.943,1,0.002,0,0.0
B. 안전성 평가·측정,탈옥,jailbreak,21,0.81,73,0.94,6,0.046,7,0.053
C. 오용·악용 위험,유해 콘텐츠,harmful content,22,0.955,35,0.938,0,0.0,0,0.0
I. 정보생태계·합성미디어,AI 리터러시,AI literacy,39,0.795,42,0.937,2,0.051,0,0.0
K. 이용자 보호·아동청소년·정신건강,정신건강,mental health,44,0.909,57,0.934,0,0.0,0,0.0
C. 오용·악용 위험,사이버 공격,cyberattack,92,0.913,67,0.93,0,0.0,0,0.0
C. 오용·악용 위험,위협,threat,257,0.856,86,0.92,10,0.032,0,0.0
B. 안전성 평가·측정,벤치마크,benchmark,368,0.948,89,0.912,6,0.015,1,0.003
F. 법·규제 개념,규정 준수,compliance,29,0.897,87,0.91,8,0.032,0,0.0
B. 안전성 평가·측정,공격 성공률,attack success rate (ASR),49,0.918,40,0.905,11,0.216,15,0.294
A. 정렬·모델 행동,사고연쇄,chain-of-thought (CoT),28,0.786,44,0.871,6,0.167,12,0.333
