score,df,n_defs,tier_a_ratio,bilingual,bucket_code,head,en,key
6.3357,3,8,1.0,1.0,A,딥페이크,Deepfake,deepfake
4.6408,3,4,1.0,1.0,F,생성형 AI,Generative AI,generative ai
4.5086,2,12,1.0,0.0,A,AI 에이전트,AI agent,ai agent
4.2057,3,4,0.75,1.0,I,파인튜닝,Fine-tuning,fine tuning
3.4205,2,6,1.0,0.0,B,벤치마크,Benchmark,benchmark
3.2352,3,4,0.75,0.0,D,인공지능,인공지능,인공지능
3.2352,3,4,0.75,0.0,F,인공지능기술,AI technology,ai technology
3.2352,3,4,0.75,0.0,D,인공지능시스템,AI system,ai system
3.1495,2,5,1.0,0.0,F,Open-ended domains,Open-ended domains,open ended domains
3.1495,2,5,1.0,0.0,B,탈옥,Jailbreak,jailbreak
2.829,2,4,1.0,0.0,B,Defence-in-depth,Defence-in-depth,defence in depth
2.829,2,4,1.0,0.0,D,Institutional transparency,Institutional transparency,institutional transparency
2.829,2,4,1.0,0.0,E,고영향 인공지능,High-impact AI,high impact ai
2.829,2,4,1.0,0.0,B,레드팀,Red-teaming,red teaming
2.829,2,4,1.0,0.0,I,오픈웨이트 모델,Open-weight model,open weight model
2.829,2,4,1.0,0.0,A,프라이버시,Privacy,privacy
2.829,2,4,1.0,0.0,B,해석가능성,Interpretability,interpretability
2.5105,2,2,1.0,1.0,A,기만,deception,deception
2.4368,2,3,1.0,0.0,I,Adversarial training,Adversarial training,adversarial training
2.4368,2,3,1.0,0.0,J,Copyright,Copyright,copyright
2.4368,2,3,1.0,0.0,I,Data centre,Data centre,data centre
2.4368,2,3,1.0,0.0,D,Deep learning,Deep learning,deep learning
2.4368,2,3,1.0,0.0,I,Digital infrastructure,Digital infrastructure,digital infrastructure
2.4368,2,3,1.0,0.0,C,Dual-use science,Dual-use science,dual use science
2.4368,2,3,1.0,0.0,J,Goal misspecification,Goal misspecification,goal misspecification
2.4368,2,3,1.0,0.0,J,Labour market,Labour market,labour market
2.4368,2,3,1.0,0.0,J,Labour market disruption,Labour market disruption,labour market disruption
2.4368,2,3,1.0,0.0,C,Malware,Malware,malware
2.4368,2,3,1.0,0.0,F,Marginal risk,Marginal risk,marginal risk
2.4368,2,3,1.0,0.0,F,Neural network,Neural network,neural network
2.4368,2,3,1.0,0.0,I,Open source model,Open source model,open source model
2.4368,2,3,1.0,0.0,J,Pathogen,Pathogen,pathogen
2.4368,2,3,1.0,0.0,B,Penetration testing,Penetration testing,penetration testing
2.4368,2,3,1.0,0.0,A,Race to the bottom,Race to the bottom,race to the bottom
2.4368,2,3,1.0,0.0,C,Safety (of an AI system),Safety (of an AI system),safety of an ai system
2.4368,2,3,1.0,0.0,F,Scaffold(ing),Scaffold(ing),scaffold ing
2.4368,2,3,1.0,0.0,I,Scaling laws,Scaling laws,scaling laws
2.4368,2,3,1.0,0.0,F,Synthetic data,Synthetic data,synthetic data
2.4368,2,3,1.0,0.0,A,오정렬,Misalignment,misalignment
2.4368,2,3,1.0,0.0,F,인공지능산업,인공지능산업,인공지능산업
2.4368,2,3,1.0,0.0,A,통제 상실,Loss of control,loss of control
1.9311,2,2,1.0,0.0,C,Cloud computing,Cloud computing,cloud computing
1.9311,2,2,1.0,0.0,F,Input (to an AI system),Input (to an AI system),input to an ai system
1.9311,2,2,1.0,0.0,I,Large language model (LLM),Large language model (LLM),large language model llm
1.9311,2,2,1.0,0.0,I,Machine learning (ML),Machine learning (ML),machine learning ml
1.9311,2,2,1.0,0.0,F,Malicious use,Malicious use,malicious use
1.9311,2,2,1.0,0.0,B,Model card,Model card,model card
1.9311,2,2,1.0,0.0,I,Model release,Model release,model release
1.9311,2,2,1.0,0.0,F,Narrow AI,Narrow AI,narrow ai
1.9311,2,2,1.0,0.0,E,Post-deployment monitoring,Post-deployment monitoring,post deployment monitoring
1.9311,2,2,1.0,0.0,F,Prompt,Prompt,prompt
1.9311,2,2,1.0,0.0,G,Risk threshold,Risk threshold,risk threshold
1.9311,2,2,1.0,0.0,G,Risk tolerance,Risk tolerance,risk tolerance
1.9311,2,2,1.0,0.0,F,Robustness (of an AI system),Robustness (of an AI system),robustness of an ai system
1.9311,2,2,1.0,0.0,F,Safety case,Safety case,safety case
1.9311,2,2,1.0,0.0,C,Security (of an AI system),Security (of an AI system),security of an ai system
1.9311,2,2,1.0,0.0,A,Semiconductor,Semiconductor,semiconductor
1.9311,2,2,1.0,0.0,D,Systemic risks,Systemic risks,systemic risks
1.9311,2,2,1.0,0.0,B,안전장치,Safeguards,safeguards
1.7849,1,4,1.0,0.0,A,AI-generated fake content,AI-generated fake content,ai generated fake content
1.7849,1,4,1.0,0.0,F,Compute,Compute,compute
1.7849,1,4,1.0,0.0,I,Weights,Weights,weights
1.5374,1,3,1.0,0.0,J,Cognitive tasks,Cognitive tasks,cognitive tasks
1.5374,1,3,1.0,0.0,A,Control,Control,control
1.5374,1,3,1.0,0.0,A,Control-undermining capabilities,Control-undermining capabilities,control undermining capabilities
1.5374,1,3,1.0,0.0,F,Data minimisation,Data minimisation,data minimisation
1.5374,1,3,1.0,0.0,E,Emergent behaviour,Emergent behaviour,emergent behaviour
1.5374,1,3,1.0,0.0,F,Goal misgeneralisation,Goal misgeneralisation,goal misgeneralisation
1.5374,1,3,1.0,0.0,J,Hazard,Hazard,hazard
1.5374,1,3,1.0,0.0,J,Human in the loop,Human in the loop,human in the loop
1.5374,1,3,1.0,0.0,D,Inference-time enhancements,Inference-time enhancements,inference time enhancements
1.5374,1,3,1.0,0.0,I,Personally identifiable information (PII),Personally identifiable information (PII),personally identifiable information pii
1.5374,1,3,1.0,0.0,C,Ransomware,Ransomware,ransomware
1.5374,1,3,1.0,0.0,A,Reinforcement learning from human feedback (RLHF),Reinforcement learning from human feedback (RLHF),reinforcement learning from human feedback rlhf
1.5374,1,3,1.0,0.0,E,Sensitive data,Sensitive data,sensitive data
1.5374,1,3,1.0,0.0,J,Winner takes all,Winner takes all,winner takes all
1.5374,1,3,1.0,0.0,E,사고연쇄,Chain-of-thought,chain of thought
1.5374,1,3,1.0,0.0,H,허위정보,Disinformation,disinformation
1.2492,1,3,0.0,1.0,I,데이터 사일로,데이터 사일로,데이터 사일로
1.2492,1,3,0.0,1.0,A,인간 피드백 기반 강화학습,인간 피드백 기반 강화학습,인간 피드백 기반 강화학습
1.2184,1,2,1.0,0.0,I,Algorithmic (training) efficiency,Algorithmic (training) efficiency,algorithmic training efficiency
1.2184,1,2,1.0,0.0,E,Algorithmic transparency,Algorithmic transparency,algorithmic transparency
1.2184,1,2,1.0,0.0,F,Application Programming Interface (API),Application Programming Interface (API),application programming interface api
1.2184,1,2,1.0,0.0,B,Audit,Audit,audit
1.2184,1,2,1.0,0.0,J,Automation,Automation,automation
1.2184,1,2,1.0,0.0,I,Bias,Bias,bias
1.2184,1,2,1.0,0.0,C,Biosecurity,Biosecurity,biosecurity
1.2184,1,2,1.0,0.0,C,CTF (Capture the Flag) challenges,CTF (Capture the Flag) challenges,ctf capture the flag challenges
1.2184,1,2,1.0,0.0,J,Carbon intensity,Carbon intensity,carbon intensity
1.2184,1,2,1.0,0.0,J,Carbon offsetting,Carbon offsetting,carbon offsetting
1.2184,1,2,1.0,0.0,A,Confabulations or hallucinations,Confabulations or hallucinations,confabulations or hallucinations
1.2184,1,2,1.0,0.0,G,Data collection and pre-processing,Data collection and pre-processing,data collection and pre processing
1.2184,1,2,1.0,0.0,A,Deceptive alignment,Deceptive alignment,deceptive alignment
1.2184,1,2,1.0,0.0,J,Developer,Developer,developer
1.2184,1,2,1.0,0.0,J,Digital divide,Digital divide,digital divide
1.2184,1,2,1.0,0.0,J,Digital forensics,Digital forensics,digital forensics
1.2184,1,2,1.0,0.0,J,Discrimination,Discrimination,discrimination
1.2184,1,2,1.0,0.0,I,Distributed training,Distributed training,distributed training
1.2184,1,2,1.0,0.0,B,Explainable AI (XAI),Explainable AI (XAI),explainable ai xai
1.2184,1,2,1.0,0.0,F,Fair use,Fair use,fair use
